content,category,validated_by,score,thumbsUpCount,country
"Made a purchase today that was hard to pass up. Got my confirmation email and everything. An hour later, the vendor cancelled the order and deleted their store. Scam. Now I have to wait for my refund to process. Been a prime member for 10 years. Contacted customer service, they said ""sorry"". No help in rectifying the situation, no offer to get another item on order, just ""sorry"". Really not feeling encouraged to continue shopping with them. Way to have your customers backs Amazon.",customer-service,Ugochukz,1,2,us
This app does NOT have an UNINSTALL option!,user-experience,Lailat,1,0,us
"Been using this app for years with no issues but in the past week or so, it keeps freezing and needs to be closed. With holiday shopping coming up, it would be nice to have a reliable app where I can shop for gifts and not feel like throwing my phone across the room. Not sure what happened but PLEASE fix it!",user-experience,Adam,3,3,uk
Passwords and security has gone extremely overboard,security,Lailat,1,0,us
I would very much like to be able to use the app in English in all countries. My Spanish isn't very good so it's quite difficult to navigate the app in Spanish speaking countries.,user-experience,Adam,3,0,uk
"I love the Amazon's deals & delivery svc. Just be sure to watch your bank statement! I was charged 10.99 per month for 6 months for Prime, but cancelled free trial b4 it ended. Cust. Svc. reps-clueless, couldn't find glitch & said I ""wasn't getting billed!"" They make promises they don't keep to research & correct error. Was never credited the $66+ billed in error. Delivery service gets 3 stars. Fast, but need to follow customer del. instr's!",customer-service,Solomon,4,35,us
"I would give the app 5 stars if it had a dark mode option in the settings. (Yes, I do know that with Android 10 and above you can force most apps to use dark mode in the developer options.)",user-experience,Adam,4,0,uk
Everything is very good and nice,user-experience,Adam,5,0,us
This app has all the functionality necessary to conveniently shop at what is still one of the best places to do so. Many of the review complaints resulting in low ratings range from just petty to outright ludicrous!,user-experience,Solomon,5,0,us
works well. hardly ever bugs out. forced restart fixes whatever if it's ever slow.,user-experience,Adam,5,0,us
honestly no issues with Amazon and any issues I have possibly had in the past they always ended up resolving it hence why I still use them lolol. that and customer service is always nice and the pickup or dropoff ppl are always respectful as well. 5 star from me an it's not staged 😆 I only praise ppl or companies that actually do their job and do it kindly. :) have a great day guys.,customer-service,Solomon,5,1,us
"I don't bother looking anywhere else. OK, you might find things a little cheaper elsewhere very occasionally, but you can't beat Amazon customer care and return policies.",customer-service,Solomon,5,0,us
"It keeps glitching. The app is just one of the many and the least problem with Amazon. I have come to hate this company. I really do not shop here like I used to. One reason is the app itself. I have to open and close it all the time to get it to work, tells you it can not add an item, but you have to check before you buy because the item was added multiple times. Trying to delete items from the cart hardly works without closing and reopening or waiting until the next day.",user-experience,Ugochukz,1,17,us
good,user-experience,Lailat,4,1,us
"For some reason the app doesn't let me edit items in the basket, quite frustrating. Once something added to the basket can't be removed or saved for later.",user-experience,Lailat,2,0,us
nice app,user-experience,Lailat,4,0,us
"Type in anything... ""10mm Gearwrench"", you get everything except a 10mm gearwrench. Dresses and fish tanks? I have never looked up a dress or a fishtank. How are those related to the wrench? Now try to tell Amazon! Amazon overlords cant be bothered! Oh well, all hail our new overlords!",user-experience,Solomon,1,0,us
"Temporary rating. The new update is glitchy. (With the Dark green top banner) I have to keep ""uninstalling"" it to revert back to the old version (light teal banner) so it runs smoother. Would appreciate some refinement on the updated version so it can stop glitching, and lagging. Had to toggle ""off"" the ""enable auto-update"" option.",user-experience,Adam,4,6,uk
"Amazon is normally everyone's go to app when online shopping because it's fast, rarely lags, has almost everything you want, and has good deals. But lately the app has been slow and laggy and the more updates they add the worse it gets. I used to love Amazon but now if I even want to look at one thing it takes 20 minutes to even get the app to work and even then it still lags!",user-experience,Ugochukz,2,23,us
Constantly 'recommends' items that have absolutely no relevance to me in the slightest. I am Diabetic and search for sugar free items but I am constantly bombarded by items with FULL sugar...this has the potential to be quite dangerous! Constantly 'recommends' items I have already bought. Tracking a parcel is pointless as 90% of the time it's way out. And as for the Prime Video tab..... Z list (if you're lucky) garbage... oh and full of ads... totally pointless and unwatchable.,user-experience,Adam,1,40,uk
"Since recent update, app is very slow loading photos, scrolling down to reviews and going to new product pages. It is lagging a lot.",user-experience,Lailat,3,0,us
Absolute shite since the update only show one large listing at a time with no way to change it back to the old style with multiple listings per screen even took out the app settings section so there's no way to alter the current look whatsoever,user-experience,Ugochukz,1,0,us
"First when I got my slime from Amazon, it sucked because of how messy it was. Then I got a Christmas hat that lights up but then my battery had to be fixed because I almost lost the battery inside my hat (my hat today still works) And my razor sucked because it didn't removed most of my hair on my body. Sometimes when my family buys stuff on Amazon, it turns out bad. If Amazon would stop making everything expensive, IT WOULD BE A BETTER APP 😡!! (although some stuff on Amazon is cheap 😉)",user-experience,Ugochukz,2,2,us
Stop support killers,customer-service,Lailat,1,0,us
"The update of the app makes it glitchy. After years of using the app without issue, it suddenly doesn't work correctly. It is now impossible to get to the orders page to check on the status, let alone make any changes. It is frustrating and makes me rethink ordering from Amazon despite being a loyal customer for as long as I can remember. Please fix this glitch!",user-experience,Ugochukz,1,318,us
Recently features don't work and slow.,user-experience,Lailat,2,0,us
so easy and convenient,user-experience,Adam,5,0,us
I've been shopping with Amazon since they only sold books. I love the convenience of shopping online instead of running all over town looking for what I need.,user-experience,Solomon,5,4,us
"When I set Espanol as a region (I live here but don't speak in Español) I can choose only Español or Portugal langueges, not English. For my case browser version is better, I can use Chrome built-in translator.",user-experience,Lailat,3,0,us
Good,user-experience,Lailat,3,0,us
"I like it and it's very easy to manage my orders. However recently it freezes while browsing; usually when I'm trying to scroll vertically. The other controls become unresponsive. After about a minute, the app restarts, losing any entries I've made. I have a Moto G6 phone running Android 9, and Motorola discontinued OS updates a year ago..",user-experience,Solomon,4,134,us
Only have a 4 because Amazon doesn't have control over all the shipping or the quality of the product.,shipping,Adam,4,0,uk
"A critical aspect that needs improvement is the return policy, particularly concerning the timeframe for refunds. Customers expect efficient and hassle-free returns, yet waiting a minimum of 20 days for a refund is far from satisfactory.",customer-service,Lailat,3,0,us
"Love the app very much and have been using it for almost 5 years. I'm giving it 4 stars because I have a minor issue with the apps ui. When browsing for used products, for much more affordable deals... some will pop up and some don't. No matter how many times I tap my screen, on both of my Android devices, nothing happens. But when I press my thumb and hold for a few seconds, all it does it highlight the typical blue text, a different color. Please fix this asap! Thank you!",user-experience,Solomon,4,3,us
"Amazon has been really going downhill. The products available are going down in quality. The brands you want are starting to not appear. The reviews are fake, paid, and bad. The clothing is not modeled on humans, so you have no clue how it will look, and some are so cheaply made and thin you couldn't wear it. All of this and Amazon raises their prices, treats their sellers poorly, and are slowly raising prices on their items. Much more to say, but it won't fit in this window.",user-experience,Ugochukz,2,2,us
"Very, very difficult to make a simple purchase. I have been an hour trying to return an item that was bundled by mistake. The effort to make this simple return has taken 5-hrs. I have given up on the Amazon robots. A loyal customer for more than 15-yrs. I give up on Amazon. I will not do business with them anymore.",customer-service,Solomon,1,0,us
Good,user-experience,Adam,5,0,us
Amazon Smile is no longer available. Please update the change logs to remove any references to it.,security,Adam,4,0,uk
"SOMEHOW, SOMEONE HAS LITERALLY WENT INTO MY AMAZON ACCOUNT AND HAS DELETED ALL OF MY PAST AND CURRENT ORDERS! HOW DOES THIS EVEN HAPPEN, I'M MY ACCOUNT ADMINISTRATOR AND CAN'T EVEN DELETE MY OWN ORDERS, THIS HAS TO TAKE SOMEONE HIGHLY TRAINED AND SKILLED AND CAN BE ABLE TO HACK INTO THE ACTUAL COMPANIES ACCOUNTS AND TAKE CONTROL OR TAKE OVER, AM I RIGHT?",security,Lailat,3,1,us
"so fsr anytime i have ordered anything, it has come on time. If their is a problem with my order, they have quickly refunded me or have offered to resend a new product. i would recommend amazon.",customer-service,Solomon,5,0,us
For the most part they are all right but I hate this picture delivery method instead of people ringing the bell even though I have on my delivery instructions to ring the bell the bell alert is faster than the Amazon or Alexa alert with the picture and luckily I recognized my neighbor's front porch and was able to retrieve my package but if I would have caught them before they left the block I could have showed them the difference between the 7 and the 9 and they might get other deliveries right,shipping,Adam,4,1,uk
"Now that AI has been obviously added, this has become the worst app. The search results are 50% good and 50% garbage. AI is not ready to be implemented everywhere. I wish businesses understood this. There's also this floating question bar at the bottom of the screen that is one of the most annoying features I've ever seen in an app. I'm going to remove the app and just shop from the website. If the website gets these things added, I'm done with Amazon. Online shopping shouldn't be so much work.",user-experience,Ugochukz,1,1,us
Have been with amazon now for a while now and the customer service has gone right down hill its almost impossible to get through to any human now and I think it time for me to abandon all amazon prime products.,customer-service,Lailat,2,0,us
Why is it that I have to return or exchange 50% of what I order on Amazon? Because they sell straight garbage and try to offload items that have previously been returned by other customers. Ebay has way better items and quality control. I never have to return anything that I order on eBay. So I'm done with Amazon! Most of eBay's merchandise comes with free shipping anyway. Paying for Prime makes no sense if you can't count on the quality.,user-experience,Ugochukz,1,28,us
"Totally awesome app,very good for people.",user-experience,Adam,5,0,us
"I don't know why an update was needed to change how I view my lists, but if you could change it back so that when I click ""Your Lists"" I can view ALL of my lists rather than seeing the options ""Grouped for you"", ""Your lists & registries"", & ""All saves"". I already have my lists numerically & categorically organized! This change is a nuisance (I know, 1st world problems.)",user-experience,Ugochukz,3,92,us
I shop a lot on Amazon and the app has always been user friendly and efficient. However during the last week it has stopped/frozen and a pop up asks if I want to close the app or wait. This occurs every few minutes and interrupts the entire shopping experience. Fix this ASAP or else I will be spending much less money this holiday season....,user-experience,Ugochukz,3,13,us
"so easy, fast and cheaper than chewy for cat food! and packages come in neatly packed boxes. Fed ex looks like they throw mine half the time and I order 6 or 7 cases of food and 32 lb. box of litter and they put it all in 1 box from chewy, really!?? I can't lift an 80 lb box and no wonder they look like they do.",shipping,Solomon,5,2,us
"Good looking app, good UI, very easy to use. Great for tracking order status and handing returns on-the-go. The only time I would choose to use Amazon on the computer over the mobile app is if I'm shopping for items and I want to see the selection on a larger screen (along with the easier usage of filters). But for everything else, this app is excellent.",user-experience,Solomon,5,2196,us
"Need amazon every day nearly bed bound so I buy a lot on line, very reliable only trouble with 1 or 2 drivers from other firms not net flix",shipping,Adam,5,0,us
"Every thing was going great until they disabled my account for no reason, all the purchases I made were clean.",customer-service,Lailat,3,0,us
"Thank you for the convenience this app works well and one can literally track order, easy shopping, delivered fast and you can buy anything💯",user-experience,Solomon,5,0,us
Amazon Shopping is the best and delivery is very free and I love it,user-experience,Lailat,4,0,us
The app is getting worse and worse. Service is getting very bad. There seems to always be an issue these days with orders. I've had Amazon Fresh orders where they either did not show up at all or items were destroyed or melted. It's getting to the point where even though I love the convenience I'm getting seriously tired of ordering from there. Now the new thing is that the app keeps crashing. Getting so fed up.,user-experience,Ugochukz,2,11,us
Se demoran con las entregas,shipping,Lailat,3,0,us
This app is stupid,user-experience,Solomon,1,0,us
Amazon is great for buying stuff but the shopping app is absolute garbage. It constantly has trouble loading and I'm always having issues trying to access my account only to be met with a blank eternal loading screen.,user-experience,Lailat,2,1,us
"It glitches when trying to connect to customer service, calls don't go through or chat options is not working",customer-service,Lailat,3,0,us
O pm. Y M,user-experience,Lailat,2,0,us
Worst app ever with continual error screens with dogs that are supposed to make you feel better about how horrendous Amazon is. Issue persists across multiple wifi and carrier networks. All other apps work perfectly fine. Issue is Amazon only. Walmart app works well!! Try using that instead.,user-experience,Ugochukz,1,28,us
"Layout is still horrible. Everything is spread out in unconvenient locations. Forced ads are getting worse causing the app the take longer just to open. Video app shouldnt be integrated with shopping app. Need to get rid alexa button always on the way. Dont need wont ever use it. Return process is horrible, more options and they all are still useless. Purposely makes it difficult to cancel subscriptions Inspire tab is bloated addition and just makes this even more awful. Forgets phone number.",user-experience,Ugochukz,1,54,us
fantastic,user-experience,Adam,5,0,us
"Frequently freezes mid scroll or app gets locked up. Blue Prime icon next to items is impossible to find, even when selecting Prime only. There are never any 2 day shipping related items. Filtering doesnt work as well, often times exactly what youve filtered out, shows up in the lists. There are way to many sponsored products before you find what were originally looking for. Extra unwanted emails, postcards from sellars requesting 5 star rating for free giftcards that arent legit. Address sold.",user-experience,Ugochukz,2,17,us
Very unattractive icon. Ugly beige. 🥱🫤🫣,user-experience,Lailat,3,0,us
"What a joke. I never signed up for interest based ads. The mission in trying to disable them all is ridiculous. I already bought ram, no I don't want more ram ads, I already bought a headset, no I don't want to see more headsets. Absolutely hate targeted advertising and it's deceptive practises.",privacy,Ugochukz,2,3,us
love it.,user-experience,Adam,5,0,us
"Brought 2 items that had been canceled due to me needing to revise my payment, though I did have enough to buy those two items, once I canceled them, I have not gotten any kind of notification that I will be receiving my money back",customer-service,Lailat,2,0,us
Very dirty service i paid high priority. They took double charge. More than the item's charge. But didn't give the item's. I try to cancel. They cancelation is not confirmed. I f i didn't get the payment back. I will go consumer court. You don't want do the business properly stop immediately. Don't loot money from the customers...,customer-service,Lailat,1,1,us
"WALMART>LOSERZON Amazon UI, shipping day and order filter killed amazon. All my orders default to amazon ship day. Latest app doesnt show my orders. It just shows 2 of the most recent orders and the stupid filter wont turn off. Been months since they added a stupid filter to purchased items. I still cannot see items I ordered. Between this and the fact that Amazon ship day ruins almost every order I place, makes Amazon impossible to use for a business. Remove filter! Remove amazon ship day!!!",user-experience,Ugochukz,1,24,us
Happy with just about everything. Yet I am mystified by paying extra to get packages faster and nearly everytime there is something happening to hold them up .,shipping,Adam,5,0,us
"This app keeps getting buggier on Android, especially on new Android tablets such as the awesome Samsung tablets. Amazon developers really need to come up to par with mobile OS updates. This is disappointing and annoying. Amazon shopping app can't be installed on the latest Samsung S9 tab plus or S9 Tab ultra.",user-experience,Ugochukz,1,1,us
"Last update hit rock bottom, annoying Tab near the bottom that keeps popping up while scrolling. While checking the wish list, when you click back app takes you somewhere else randomly.",user-experience,Lailat,2,5,us
Notification settings don't work correctly. I'm getting marketing / recommended products even though the setting for this is turned off in the app. Maybe just use notification categories like every other app?,user-experience,Lailat,2,0,us
Very nice,user-experience,Adam,5,0,us
When in use,user-experience,Lailat,4,0,us
"My location services are on and recognized / work with with every other app, except this app. Which means i can't open Amazon lockers, which I am forced to use due to my address. I can even see that the app recently used the location services, while lying to me about it being deactivated. Sometimes it works fine, most the time it does not. Sometimes i can get a work around by opening the associated email for the delivery which might bypass the location check.",user-experience,Ugochukz,1,28,us
been charged multiple times for subscriptions through prime. in addition I was supposed to be paying 6.99 for prime they continued to charge me 14.99,customer-service,Lailat,3,1,us
😍 سبشنل ديشنل,user-experience,Lailat,2,0,us
app has become unreliable photos take too long to load and changing pages a nightmare. Thought initially it was my internet speed but that's as it normally is . it just appears to be this app not happening on eBay.,user-experience,Ugochukz,2,2,us
What happened to the my list at the bottom of the page I had things saved in it and then one day without warning I opened up the app and the my list is totally gone. I really liked this app because if I found something that I wanted at a later time I could just drag it down and save it for later. Now you gotta add to your cart just to do that bring the my list back at the bottom of the page,user-experience,Ugochukz,3,1,us
"Normally, I'm pretty happy with the app. But the latest update seems to have screwed it up. Even though I've been buying through the Amazon app for years, it now tells me there's nothing in my Purchase History. The app is telling me that I have NO active orders, but I just got an email confirming that I have multiple packages due to arrive tomorrow. I'm not looking for anything fancy from the Amazon app, but I do expect it to function properly.",user-experience,Ugochukz,2,4,us
I love Amazon. Its the best😘😍,user-experience,Adam,5,0,us
cannot load cards. keeps giving errors,user-experience,Lailat,2,0,us
Horrible my item got delayed 2 times while being shipped and took like 17 days when it was supposed to take 2,shipping,Lailat,1,0,us
I love this app. I've been using it for multiple years now. All of the sudden for the past few days the App is freezing for some reason. Can't get it to stop! I'm frustrated as I use it alot! Can you please find the glitch and fix it? Xmas is coming and I want to use it!!,user-experience,Adam,4,1,uk
"This app has, over time, become hot garbage. When searching *specifically* in Fresh, all results show as 'unavailable' until I open the item details, at which point I can add it to my cart...if it actually shows me items from Fresh! Half the results aren't even from Fresh, they're from regular Amazon. The worst part is, there is nowhere to report this issue! Amazon has insulated themselves from feedback and it shows through their service degradation.",user-experience,Adam,1,53,uk
Is this available for the fees for cash on delivery,shipping,Lailat,3,0,us
I love shopping for my wife at Amazon,user-experience,Adam,5,0,us
"Your account gets locked if you add new credit card, trying to buy last minute easter gift for a family member and now my account locked, they want my bank statements.... I declined as I do not feel comfortable giving that information. Future I will be looking at other places to shop... This is scary, been using them for years... Now they want this information... No thank you!",privacy,Ugochukz,1,2,us
"I have been a loyal customer for what 4 plus years, I have nothing wrong until this new updates keeps cutting me off showing the dogs saying ""oops sorry no connection "" never had that happened to me before and it's getting very annoying. I miss the old version. The prices are great, the shipping is taking too long to, and maybe you guys should ship them faster. I really like you guys, because the price is awesome than the other places I try order from. Also I have trouble ""checking out"".",shipping,Solomon,4,44,us
"Amazon said I had until Friday April 5, and on the third of April they remove the Amazon lock boxes without alerting me. I went to the pickup location for nothing.",shipping,Lailat,2,1,us
it's my first order in this app but I think it will be good 😊,user-experience,Adam,5,0,us
"I typically don't have an issue navigating the app, but there was a recent change that I am not feeling. When I search for an item, and then click on the item to explore for purchase clicking the ""X"" button to get back to the search results is really going to take some getting used to. I would prefer to just hit the back button on my phone, but instead it's just taking me back to the home page. This requires me to search to the item again or click on the Keep browsing. Fewer clicks is best!",user-experience,Solomon,4,261,us
Constantly freezes crashes and ticks me off!!!,user-experience,Lailat,3,0,us
"I have used the apps for a few years now. I normally use it for Christmas Shopping or for Birthday Gifts. If something goes missing or it's an incorrect order, Amazon is pretty good at rectifying the situation. The reason they get a 4 star is: the app takes forever to load certain pages (like your orders) and it does take longer than it says for items to get to you. So don't order if you are in a ""crunch for time"".",user-experience,Solomon,4,81,us
"Ojalá hubiera CERO ESTRELLAS para ponerle a esta aplicación. Hice un pedido que la aplicación me marcó como recibido y las cámaras de mi casa muestran que jamás llegó mi pedido. Dos veces por teléfono me dijeron que hiciera algo para pedir reembolso y no funcionó. Son mentirosos, horribles y carentes de vergüenza. Shame on them!!! Voy a desinstalar esta aplicación engañosa.",shipping,Solomon,1,0,us
"Products are often of low mid quality. Paid for prime for 6 months an I found it to not be worth it. Items are always several days late which is a disappointment. However, the ability to make returns an replace an item is super helpful. If not for ease of returns an short wait times to speak with a representative, I wouldn't use.",shipping,Ugochukz,3,1,us
"One of the most profitable companies in the world felt the need to raise the price of a paid service, that being Prime. Not to mention no more 2 day guaranteed shipping. Some friends of mine have been Amazon employees and all have only had negative things to say while working there. Seems like everything I buy off Amazon these days is defective from the box. Pretty weak selection of Prime video content as well. I'm tired of it all and I rarely use Amazon anymore.",user-experience,Ugochukz,1,33,us
"Search engine sucks. Looking for 6 inch plates ceramic & it will show me every kind of plate that is any size, in sets of 6 instead of 6 in & any material. When you filter for colors instead of adding to your selection it decreases. That doesn't even make sense. If I'm looking for red & there are 20 & brown & there are 40, that should give you 60. But it DECREASES & show 12. ??? And no way to ask for Amazon help. Says error page. No customer service then no more orders from me, Amazon.",user-experience,Lailat,1,1,us
"company amazon disrespect you with their promises. This happened with me many times. You spent money for prime membership and overnight delivery (before 11am next morning) and you'll receive message after all times passed ""... it's coming late, your delivery tomorrow by 6pm, if you don't want to wait cancel and get refund"". It's miserable treating after you paid for Overnight! They are more and more frequently treat us like a mushrooms. The apps itself is slow and glitchy.",shipping,Lailat,2,1,us
"I've never really had any issues when purchasing from Amazon. I buy all of my books from Amazon and ive bought alot of nonbook items over the years. My only issue with Amazon it's their so called deals they'll send you on items from you wish list. Checked the price and the original price was now $230 but the price when I added it to my list was $170 but supposedly at $116 it was on sale. They raise original prices to con you into paying retail on a ""deal""",customer-service,Solomon,4,87,us
"Amazon with Prime is indispensable. Used it many times over. Only once I had a problem, and they were great!",customer-service,Solomon,5,1,us
Recent updates.... (Not sure when but certainly in the last 6 weeks) have broken wish lists. View a friend's list that I know to be non-empty and the app shows nothing. Go to a web browser on a laptop.... There's the list.,user-experience,Adam,3,4,uk
Useful app for shopping only given it 3 stars because it is constantly changing my location to America and dollars ($). When I live in the uk and use pounds sterling(£). Don't know why it does this it has happened for a few other people i know too,user-experience,Adam,3,0,uk
shipping has gotten slower no more next day. 😒 Not sure what im paying a subscription for.,shipping,Lailat,2,0,us
I love Amazon,user-experience,Adam,5,0,us
badest com ever,user-experience,Lailat,1,0,us
"Amazon's gotten way to big for its britches. I signed up for free shipping and even next morning delivery on some items, after I pay they up and decide they will deliver it hours if not days late. They refuse to allow our searches to find what we want & push there ads down our throats. Don't get me started on prime video, no ads when we signed up, now 75%+ have alot of ads and now they wanna charge an extra $2.50 for ad free. Netflix did it & I cut em. If Walmart gets better w vids I'm I'm gone",user-experience,Adam,1,14,uk
Love Amazon but the new updates are trash. I placed an order and instead like before I would be charged all at once right away but now I place a order I'm charged individually for each item (it looks like 100 transactions?) Now I never exactly what I'm being charged for. Being charged for shipping. Packages no longer arriving when supposed too.,shipping,Ugochukz,2,2,us
"My only problem with this app is this, Every single time and I mean EVERY SINGLE TIME I try to check out it just won't let me do it at all. And I just don't understand why. I've tried over and over and over, again and again and again. Well it just won't let me check out. It's very very very frustrating.",user-experience,Ugochukz,2,0,us
Good to find hard to find stuff.,user-experience,Lailat,4,0,us
"The Amazon Map Tracking is an excellent feature; however, it should be mandatory that ALL carriers be required to implement this tracking system for tracking deliveries. We've had deliveries get forgotten in the van and missed out stop. This was only saved by the fact we had the map and stops away for reference. For carriers not using this feature, there is no such safety net. It should be a no brainer to make this a requirement for all carriers once it has been activated for a given region.",shipping,Adam,4,26,uk
